
Spanning tree interface parameters for instance 0

Interface                  Port ID    Designated         Designated         Port    State  Role
                                       port ID           bridge ID          Cost
ae12                        128:15       128:15   4096.384f49628f02         1000    FWD    DESG 
ae13                        128:16       128:16   4096.384f49628f02         1000    FWD    DESG 
ae14                        128:17       128:17   4096.384f49628f02         1000    FWD    DESG 
ae16                        128:19       128:19   4096.384f49628f02         1000    FWD    DESG 
ae17                        128:20       128:20   4096.384f49628f02         1000    FWD    DESG 
ae18                        128:21       128:21   4096.384f49628f02         1000    FWD    DESG 
ae19                        128:22       128:22   4096.384f49628f02         1000    FWD    DESG 
ae20                        128:23       128:23   4096.384f49628f02         1000    FWD    DESG 
ae21                        128:24       128:24   4096.384f49628f02         1000    FWD    DESG 
ae22                        128:25       128:25   4096.384f49628f02         1000    FWD    DESG 
ae23                        128:26       128:26   4096.384f49628f02         1000    FWD    DESG 
ae24                        128:27       128:27   4096.384f49628f02         1000    FWD    DESG 
ae25                        128:28       128:28   4096.384f49628f02         1000    FWD    DESG 
ae26                        128:29       128:29   4096.384f49628f02         1000    FWD    DESG 
ae27                        128:30       128:30   4096.384f49628f02         1000    FWD    DESG 
ae28                        128:31       128:31   4096.384f49628f02         1000    FWD    DESG 
ae29                        128:32       128:32   4096.384f49628f02         1000    BLK    DIS  
ae30                        128:33       128:33   4096.384f49628f02         1000    FWD    DESG 
ae33                        128:36       128:36   4096.384f49628f02         1000    BLK    DIS  
ae34                        128:37       128:37   4096.384f49628f02         1000    FWD    DESG 
ae35                        128:38       128:38   4096.384f49628f02         1000    FWD    DESG 
ae36                        128:39       128:39   4096.384f49628f02         1000    FWD    DESG 
ae37                        128:40       128:40   4096.384f49628f02         1000    BLK    DIS  
ae38                        128:41       128:41   4096.384f49628f02         1000    FWD    DESG 
ae39                        128:42       128:42   4096.384f49628f02         1000    FWD    DESG 
ae40                        128:43       128:43   4096.384f49628f02         1000    FWD    DESG 
ae41                        128:44       128:44   4096.384f49628f02         1000    FWD    DESG 
ae43                        128:46       128:46   4096.384f49628f02         1000    BLK    DIS  
ae44                        128:47       128:47   4096.384f49628f02         1000    FWD    DESG 
ae45                        128:48       128:48   4096.384f49628f02         1000    FWD    DESG 
ae46                        128:49       128:49   4096.384f49628f02         1000    FWD    DESG 
ae47                        128:50       128:50   4096.384f49628f02         1000    FWD    DESG 
ge-0/0/48                 128:1034     128:1034   4096.384f49628f02        20000    FWD    DESG 
ge-0/0/49                 128:1035     128:1035   4096.384f49628f02        20000    FWD    DESG 
ge-0/0/50                 128:1036     128:1036   4096.384f49628f02        20000    FWD    DESG 
ge-0/0/51                 128:1037     128:1037   4096.384f49628f02        20000    FWD    DESG 
ge-0/0/52                 128:1038     128:1038   4096.384f49628f02        20000    FWD    DESG 
ge-0/0/53                 128:1039     128:1039   4096.384f49628f02        20000    FWD    DESG 
ge-0/0/54                 128:1040     128:1040   4096.384f49628f02        20000    FWD    DESG 
ge-0/0/55                 128:1041     128:1041   4096.384f49628f02        20000    FWD    DESG 
ge-0/0/56                 128:1042     128:1042   4096.384f49628f02        20000    FWD    DESG 
xe-0/0/78                 128:1043     128:1043   4096.384f49628f02         2000    FWD    DESG 
xe-0/0/79                 128:1044     128:1044   4096.384f49628f02         2000    FWD    DESG 
xe-0/0/80                 128:1045     128:1045   4096.384f49628f02         2000    FWD    DESG 
xe-0/0/81                 128:1046     128:1046   4096.384f49628f02         2000    FWD    DESG 
xe-0/0/82                 128:1047     128:1047   4096.384f49628f02         2000    FWD    DESG 
xe-0/0/83                 128:1048     128:1048   4096.384f49628f02         2000    FWD    DESG 
xe-0/0/84                 128:1049     128:1049   4096.384f49628f02         2000    FWD    DESG 
xe-0/0/85                 128:1050     128:1050   4096.384f49628f02         2000    FWD    DESG 
xe-0/0/86                 128:1051     128:1051   4096.384f49628f02         2000    FWD    DESG 
xe-0/0/87                 128:1052     128:1052   4096.384f49628f02         2000    FWD    DESG 
xe-0/0/88                 128:1053     128:1053   4096.384f49628f02         2000    FWD    DESG 
xe-0/0/89                 128:1054     128:1054   4096.384f49628f02         2000    FWD    DESG 
xe-0/0/90                 128:1055     128:1055   4096.384f49628f02         2000    FWD    DESG 
xe-0/0/91                 128:1056     128:1056   4096.384f49628f02         2000    FWD    DESG 
xe-0/0/92                 128:1057     128:1057   4096.384f49628f02         2000    FWD    DESG 
xe-0/0/93                 128:1058     128:1058   4096.384f49628f02         2000    FWD    DESG 
xe-0/0/94                 128:1059     128:1059   4096.384f49628f02         2000    FWD    DESG 
xe-0/0/95                 128:1060     128:1060   4096.384f49628f02         2000    FWD    DESG 

